utc,nav,balance,unrealized_pl,open_trades,realized_since_config,net_deposits
2026-07-29T11:13:14Z,2500.00,2500.00,0.00,0,0.00,0.00
2026-07-29T11:15:01Z,2500.00,2500.00,0.00,0,0.00,0.00
2026-07-29T12:15:02Z,2500.31,2500.00,0.30,1,0.00,0.00
2026-07-29T12:24:43Z,2500.64,2500.00,0.64,1,0.00,0.00
2026-07-29T13:15:01Z,2499.38,2500.00,-0.63,2,0.00,0.00
2026-07-29T14:15:02Z,2495.60,2500.00,-4.41,3,0.00,0.00
2026-07-29T15:15:02Z,2528.44,2528.44,-0.00,2,28.44,0.00
2026-07-29T16:15:02Z,2534.08,2528.44,5.64,2,28.44,0.00
2026-07-29T17:15:02Z,2527.96,2531.16,-3.20,1,31.16,0.00
2026-07-29T18:15:02Z,2504.68,2531.16,-26.48,4,31.16,0.00
2026-07-29T19:15:02Z,2476.75,2513.72,-36.97,5,13.71,0.00
2026-07-29T20:15:02Z,2430.37,2513.72,-83.35,6,13.71,0.00
2026-07-29T21:15:02Z,2397.90,2418.45,-20.54,4,-78.36,0.00
2026-07-29T22:15:02Z,2384.14,2418.45,-34.31,5,-78.36,0.00
2026-07-29T23:15:01Z,2387.19,2418.45,-31.25,6,-78.36,0.00
2026-07-30T00:15:02Z,2400.37,2423.88,-23.52,5,-72.92,0.00
2026-07-30T01:15:02Z,2392.19,2423.88,-31.70,6,-72.92,0.00
2026-07-30T02:15:02Z,2396.81,2423.88,-27.08,6,-72.92,0.00
2026-07-30T03:15:02Z,2385.24,2423.88,-38.64,6,-72.92,0.00
2026-07-30T04:15:02Z,2389.78,2423.88,-34.10,6,-72.92,0.00
2026-07-30T05:15:02Z,2387.08,2423.88,-36.80,6,-72.92,0.00
2026-07-30T06:15:02Z,2383.08,2423.88,-40.80,6,-72.92,0.00
2026-07-30T07:15:02Z,2395.94,2428.36,-32.42,5,-68.45,0.00
2026-07-30T08:15:02Z,2388.28,2428.36,-40.07,6,-68.45,0.00
2026-07-30T09:15:02Z,2408.83,2432.67,-23.84,5,-64.14,0.00
2026-07-30T10:15:03Z,2461.47,2450.07,11.39,2,-46.73,0.00
2026-07-30T11:15:02Z,2469.53,2443.00,26.53,2,-53.81,0.00
2026-07-30T12:15:03Z,2459.86,2463.14,-3.28,2,-33.67,0.00
2026-07-30T13:15:02Z,2462.29,2465.84,-3.55,1,-30.97,0.00
2026-07-30T14:15:03Z,2414.90,2414.90,0.00,0,-81.91,0.00
2026-07-30T15:15:02Z,2385.07,2386.42,-1.35,1,-110.39,0.00
2026-07-30T16:15:02Z,2334.55,2392.69,-58.14,6,-104.12,0.00
2026-07-30T17:15:02Z,2341.31,2397.70,-56.39,6,-99.11,0.00
2026-07-30T18:15:02Z,2294.91,2377.01,-82.11,6,-119.79,0.00
2026-07-30T19:15:02Z,2294.94,2377.01,-82.07,6,-119.79,0.00
2026-07-30T20:15:02Z,2277.27,2377.01,-99.74,6,-119.79,0.00
2026-07-30T21:15:01Z,2285.38,2351.55,-66.18,6,-143.30,0.00
2026-07-30T22:15:02Z,2281.51,2351.55,-70.04,6,-143.30,0.00
2026-07-30T23:15:02Z,2282.73,2351.55,-68.82,6,-143.30,0.00
2026-07-31T00:15:03Z,2279.47,2328.21,-48.74,5,-166.64,0.00
2026-07-31T01:15:01Z,2282.05,2328.21,-46.16,6,-166.64,0.00
2026-07-31T02:15:02Z,2299.50,2331.33,-31.83,5,-163.53,0.00
2026-07-31T03:15:02Z,2325.14,2331.33,-6.18,6,-163.53,0.00
2026-07-31T04:15:03Z,2306.16,2331.33,-25.17,6,-163.53,0.00
2026-07-31T05:15:02Z,2312.60,2331.33,-18.72,6,-163.53,0.00
2026-07-31T06:15:02Z,2284.54,2331.33,-46.79,6,-163.53,0.00
2026-07-31T07:15:02Z,2283.57,2331.33,-47.76,6,-163.53,0.00
2026-07-31T08:15:03Z,2324.63,2334.45,-9.82,5,-160.41,0.00
2026-07-31T09:15:02Z,2267.57,2334.45,-66.87,6,-160.41,0.00
2026-07-31T10:15:03Z,2301.02,2334.45,-33.42,6,-160.41,0.00
2026-07-31T11:15:01Z,2333.22,2334.45,-1.22,6,-160.41,0.00
2026-07-31T12:15:03Z,2416.04,2334.45,81.59,6,-160.41,0.00
2026-07-31T12:57:59Z,2430.42,2430.42,0.00,0,-64.44,0.00
2026-07-31T13:15:03Z,2421.59,2430.42,-8.82,2,-64.44,0.00
2026-07-31T14:15:02Z,2313.36,2365.97,-52.61,6,-128.89,0.00
2026-07-31T15:15:03Z,2316.16,2348.22,-32.06,5,-146.63,0.00
2026-07-31T16:15:02Z,2295.33,2328.62,-33.29,6,-166.24,0.00
2026-07-31T17:15:03Z,2289.53,2305.30,-15.77,6,-189.56,0.00
2026-07-31T18:15:02Z,2250.58,2276.83,-26.25,6,-218.03,0.00
2026-07-31T19:15:02Z,2241.56,2287.85,-46.30,6,-207.00,0.00
2026-07-31T20:15:02Z,2261.16,2294.29,-33.13,5,-200.56,0.00
2026-07-31T21:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-07-31T22:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-07-31T23:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T00:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T01:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T02:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T03:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T04:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T05:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T06:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T07:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T08:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T09:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T10:15:01Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T11:15:01Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T12:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T13:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T14:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T15:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T16:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T17:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T18:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T19:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T20:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T21:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T22:15:01Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-01T23:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T00:15:01Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T01:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T02:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T03:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T04:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T05:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T06:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T07:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T08:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T09:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T10:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T11:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T12:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T13:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T14:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T15:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T16:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T17:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T18:15:03Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T19:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T20:15:02Z,2250.31,2293.46,-43.15,6,-200.56,0.00
2026-08-02T21:15:03Z,2191.89,2276.20,-84.32,5,-217.81,0.00
2026-08-02T22:15:02Z,2163.36,2276.20,-112.84,6,-217.81,0.00
2026-08-02T23:15:02Z,2203.27,2276.20,-72.94,6,-217.81,0.00
2026-08-03T00:15:03Z,2222.96,2279.09,-56.13,6,-214.93,0.00
2026-08-03T01:15:02Z,2262.62,2279.09,-16.46,6,-214.93,0.00
2026-08-03T02:15:02Z,2283.91,2292.03,-8.11,5,-201.99,0.00
2026-08-03T03:15:02Z,2289.05,2295.09,-6.04,4,-198.93,0.00
2026-08-03T04:15:02Z,2283.33,2298.12,-14.78,3,-195.90,0.00
2026-08-03T05:15:02Z,2281.03,2298.12,-17.08,3,-195.90,0.00
2026-08-03T06:15:01Z,2271.71,2298.12,-26.40,5,-195.90,0.00
2026-08-03T07:15:02Z,2317.97,2307.32,10.66,3,-186.70,0.00
2026-08-03T08:15:02Z,2344.74,2329.85,14.88,2,-164.16,0.00
2026-08-03T09:15:02Z,2352.60,2352.60,0.00,0,-141.42,0.00
2026-08-03T10:15:01Z,2349.50,2352.60,-3.10,1,-141.42,0.00
2026-08-03T11:15:02Z,2337.65,2352.60,-14.95,3,-141.42,0.00
2026-08-03T12:15:03Z,2334.08,2352.60,-18.52,4,-141.42,0.00
2026-08-03T13:15:02Z,2351.42,2352.60,-1.18,6,-141.42,0.00
2026-08-03T14:15:01Z,2390.39,2394.18,-3.79,3,-99.84,0.00
2026-08-03T15:15:01Z,2408.43,2414.61,-6.18,2,-79.41,0.00
2026-08-03T16:15:02Z,2390.00,2417.75,-27.74,3,-76.27,0.00
2026-08-03T17:15:03Z,2389.40,2417.75,-28.34,5,-76.27,0.00
2026-08-03T18:15:01Z,2389.00,2417.75,-28.74,6,-76.27,0.00
2026-08-03T19:15:03Z,2374.05,2422.49,-48.43,6,-71.53,0.00
2026-08-03T20:15:03Z,2353.30,2422.49,-69.19,6,-71.53,0.00
2026-08-03T21:15:03Z,2311.45,2352.77,-41.32,4,-139.52,0.00
2026-08-03T22:15:03Z,2311.70,2327.94,-16.24,3,-164.35,0.00
2026-08-03T23:15:02Z,2309.73,2327.94,-18.21,3,-164.35,0.00
2026-08-04T00:15:02Z,2295.05,2303.84,-8.79,2,-188.45,0.00
2026-08-04T01:15:02Z,2299.74,2303.84,-4.10,3,-188.45,0.00
2026-08-04T02:15:03Z,2251.71,2312.86,-61.14,4,-179.44,0.00
2026-08-04T03:15:02Z,2253.72,2312.86,-59.13,5,-179.44,0.00
