close_utc,instrument,direction,units,realized_usd,source
2026-07-16T01:40:29Z,AUD_USD,short,158732,100.00,-
2026-07-16T02:20:51Z,GBP_USD,short,49265,42.86,-
2026-07-16T11:26:41Z,AUD_USD,long,160132,78.46,parent
2026-07-16T12:52:05Z,USD_JPY,long,66692,15.87,-
2026-07-16T14:13:55Z,USD_JPY,long,67609,20.61,parent
2026-07-16T14:36:38Z,AUD_USD,long,160737,80.37,parent
2026-07-16T15:11:20Z,USD_JPY,long,67691,20.63,parent
2026-07-16T16:22:30Z,GBP_USD,short,50499,56.05,parent
2026-07-16T16:27:59Z,USD_JPY,long,68095,20.74,parent
2026-07-17T01:59:34Z,AUD_USD,short,163064,114.14,parent
2026-07-17T04:31:44Z,GBP_USD,short,50726,25.36,parent
2026-07-17T13:54:42Z,GBP_USD,long,51294,26.16,parent
2026-07-19T22:05:02Z,GBP_USD,short,51326,50.30,parent
2026-07-20T01:13:05Z,AUD_USD,long,82769,115.88,popper
2026-07-20T02:00:52Z,EUR_USD,long,75737,43.93,parent
2026-07-20T02:47:01Z,AUD_USD,long,164496,97.05,parent
2026-07-20T10:18:04Z,GBP_USD,long,26101,14.88,popper
2026-07-20T11:10:10Z,AUD_USD,long,83673,51.04,parent
2026-07-20T13:56:34Z,GBP_USD,long,26228,15.74,popper
2026-07-20T14:13:38Z,USD_JPY,long,34618,28.89,popper
2026-07-20T15:21:28Z,GBP_USD,long,26073,-156.70,parent
2026-07-20T17:14:09Z,GBP_USD,long,26120,15.41,popper
2026-07-20T18:19:06Z,GBP_USD,long,26325,16.32,popper
2026-07-21T03:55:00Z,GBP_USD,long,26139,15.68,popper
