tid,pair,dir,raw_dir,composite,d_cert,m_cert,expected,vol_regime,m5_volume,spread_pips,h1_ret_aligned,peak_pips,exit_net
8802,EUR_JPY,short,-0.5479,-0.2750,0.6460,0.7770,24.1000,normal,2205,2.5000,8.4000,6.0000,-12.7000
8805,AUD_JPY,short,-0.3676,-0.0510,0.4640,0.2990,19.4000,normal,792,2.4000,-6.6000,4.6000,-13.7000
8810,EUR_USD,short,-0.3951,-0.0510,0.4610,0.2800,12.0000,normal,542,1.6000,5.8000,19.6000,9.6500
8813,GBP_USD,short,-0.3840,-0.0550,0.4650,0.3080,12.4000,normal,778,1.7000,10.3000,26.7000,15.5500
8823,USD_CHF,long,0.4308,0.1250,0.4910,0.5910,9.8000,normal,298,1.5000,11.9000,17.9000,10.9500
8843,EUR_USD,short,-0.3445,-0.0620,0.4580,0.3930,13.2000,normal,651,1.6000,3.3000,9.5000,-13.0000
8847,USD_CHF,long,0.4786,0.0960,0.5480,0.3660,13.3000,normal,301,1.5000,9.2000,9.2000,-11.5000
8854,EUR_JPY,short,-0.2774,-0.0370,0.3900,0.3420,20.4000,normal,1068,2.5000,-12.9000,0.0000,-10.2000
8859,AUD_JPY,long,0.2898,0.0450,0.4450,0.3490,19.4000,normal,969,2.5000,20.4000,16.8000,3.6000
8866,USD_JPY,long,0.5132,0.1760,0.6190,0.5540,15.2000,normal,731,1.6000,6.0000,24.6000,17.8500
8869,USD_CAD,long,0.3175,0.0790,0.5110,0.4870,10.8000,normal,553,1.6000,-6.4000,6.6000,4.6500
8876,USD_CHF,long,0.4910,0.1950,0.5690,0.6980,8.9000,normal,178,1.5000,3.8000,11.0000,8.2000
8882,USD_CAD,long,0.3751,0.1500,0.4560,0.8770,11.1000,normal,392,1.8000,-1.9000,0.9000,-12.5000
8902,GBP_USD,short,-0.5256,-0.1750,0.6270,0.5310,16.3000,normal,999,2.1000,3.1000,1.6000,-9.6500
8905,EUR_USD,short,-0.4579,-0.1720,0.5590,0.6720,16.0000,normal,783,1.7000,1.8000,2.3000,-8.9000
8911,USD_CHF,long,0.5551,0.2150,0.6510,0.5950,17.5000,normal,335,1.5000,-3.1000,4.0000,-11.8000
8915,GBP_USD,short,-0.3430,-0.1290,0.4810,0.7820,23.9000,normal,861,1.8000,3.1000,8.5000,3.9000
8922,USD_CHF,long,0.3415,0.0600,0.4370,0.4020,13.9000,normal,190,1.4000,-1.5000,0.7000,-7.5500
8926,GBP_USD,short,-0.2773,-0.0660,0.4750,0.5010,18.2000,normal,526,1.8000,-4.8000,0.0000,-2.6000
8938,GBP_USD,short,-0.2623,-0.0870,0.4780,0.6940,14.3000,normal,91,1.8000,-4.8000,2.4000,-6.2500
8941,EUR_USD,short,-0.3124,-0.1170,0.3910,0.9580,8.3000,normal,158,1.6000,-0.0000,0.0000,-4.0000
8944,USD_CAD,long,0.2773,0.0980,0.3910,0.9040,10.0000,normal,332,2.7000,0.4000,0.0000,-5.7000
8955,AUD_JPY,short,-0.2700,-0.0510,0.3660,0.5160,36.3000,normal,361,2.3000,14.7000,10.3000,3.5000
8961,USD_JPY,short,-0.3372,-0.0920,0.4770,0.5720,36.1000,normal,1463,1.5000,19.4000,12.4000,8.5500
8964,AUD_JPY,short,-0.3930,-0.0510,0.4860,0.2670,37.6000,normal,444,2.5000,14.7000,8.5000,3.8000
8972,USD_JPY,short,-0.4006,-0.1240,0.5100,0.6070,37.0000,normal,1010,1.7000,19.4000,7.4000,1.6000
8981,AUD_JPY,short,-0.3153,-0.0590,0.4050,0.4620,27.3000,normal,617,2.1000,5.0000,5.2000,3.5500
8984,AUD_USD,short,-0.2790,-0.0930,0.3840,0.8680,12.5000,normal,162,1.3000,7.4000,5.1000,2.9500
8990,AUD_JPY,short,-0.3748,-0.0670,0.4560,0.3920,25.5000,normal,653,2.2000,5.0000,4.5000,3.0000
8993,USD_JPY,short,-0.2813,-0.0820,0.3630,0.8030,29.8000,normal,669,1.4000,-9.1000,0.0000,-19.0000
9000,AUD_USD,short,-0.3250,-0.0680,0.4500,0.4650,8.8000,normal,185,1.3000,13.3000,9.6000,8.8000
9011,AUD_USD,short,-0.4740,-0.0800,0.5760,0.2930,9.8000,normal,201,1.3000,5.0000,3.5000,1.5000
9014,USD_JPY,long,0.2819,0.0490,0.3880,0.4480,17.6000,normal,482,1.5000,2.8000,2.8000,2.6000
9017,AUD_JPY,short,-0.4130,-0.0860,0.5030,0.4140,12.1000,normal,327,2.2000,6.1000,1.5000,-5.7000
9029,AUD_USD,short,-0.3701,-0.0860,0.4610,0.5040,10.5000,normal,187,1.3000,-11.5000,1.0000,-19.1500
9032,USD_JPY,long,0.2652,0.0290,0.3550,0.3080,26.2000,normal,749,1.4000,-3.9000,0.0000,-18.7500
9037,USD_CHF,long,0.2860,0.0340,0.4420,0.2690,10.9000,normal,269,1.5000,9.2000,7.7000,5.7500
9040,AUD_JPY,long,0.2810,0.0470,0.4020,0.4160,19.7000,normal,410,2.3000,13.8000,4.9000,-17.5000
9043,GBP_USD,long,0.3187,0.0870,0.5170,0.5280,18.7000,normal,836,2.0000,37.0000,7.5000,6.6500
9046,EUR_JPY,long,0.3244,0.0750,0.4670,0.4950,20.4000,normal,619,2.8000,25.0000,9.4000,6.4000
9052,GBP_USD,long,0.2923,0.1220,0.4370,0.9550,15.0000,normal,547,2.1000,1.8000,1.2000,-19.3500
9056,USD_CAD,long,0.6370,0.3140,0.7260,0.6790,13.0000,normal,291,1.9000,15.3000,9.1000,5.7000
9068,USD_JPY,short,-0.2610,-0.0580,0.3590,0.6190,16.0000,normal,1437,1.6000,-14.2000,1.9000,-18.1500
9078,EUR_JPY,long,0.2544,0.0260,0.3500,0.2920,14.6000,normal,373,2.4000,10.1000,13.0000,10.4000
